cycle,recall,precision,recall_10,precision_10,top_mean_1,top_mean_2,top_mean_3,recall_g,precision_g,recall_10_g,precision_10_g,top_mean_1_g,top_mean_2_g,top_mean_3_g,N_init,N_per_cycle,strategy,dms_index,model_type,tmp_path,noise_level,ablang,use_dropout,logit_mode,Training size
1,0.0,0.0,0.0,0.0,-0.40568585575255245,-0.6900549563013574,-0.8305946112127195,0.023728813559322035,0.011666666666666667,0.0,0.0,1.4859053197830476,1.2940973140148357,1.2104728735394206,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,50
2,0.003389830508474576,0.01,0.001682935038707506,0.05,1.0536753350998227,0.9303614472421904,0.872451758690085,0.013559322033898305,0.006666666666666667,0.001682935038707506,0.05,1.254907539569618,1.1730232254014117,1.127581583444926,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,100
3,0.003389830508474576,0.006666666666666667,0.003702457085156513,0.07333333333333333,1.1241018486729213,1.0075704286676608,0.9484253372933922,0.023728813559322035,0.011666666666666667,0.003702457085156513,0.07333333333333333,1.5525998020920162,1.3263141606003876,1.2318834043506233,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,150
4,0.006779661016949152,0.01,0.005385392123864019,0.08,1.1570550468567469,1.0653314984734799,1.0076571708169644,0.02711864406779661,0.013333333333333334,0.005385392123864019,0.08,1.568979601192872,1.339084731936676,1.2409172503776686,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,200
5,0.006779661016949152,0.008,0.006731740154830024,0.08,1.1615850692999827,1.08156468435289,1.0300144611568358,0.020338983050847456,0.01,0.006731740154830024,0.08,1.5091072609066507,1.292098295373891,1.2075710495253524,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,250
6,0.013559322033898305,0.013333333333333334,0.008751262201279031,0.08666666666666667,1.3809799732043415,1.203473377548187,1.1268365421484257,0.01694915254237288,0.008333333333333333,0.008751262201279031,0.08666666666666667,1.429254207026479,1.2559201883929134,1.185398832440869,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,300
7,0.013559322033898305,0.011428571428571429,0.012117132278694043,0.10285714285714286,1.3980839164339058,1.2264837579536318,1.1552944338387514,0.023728813559322035,0.011666666666666667,0.012117132278694043,0.10285714285714286,1.4663205475725312,1.3070611395734337,1.233540511407781,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,350
8,0.013559322033898305,0.01,0.013126893301918546,0.0975,1.4017241151018336,1.2344324574540555,1.1627290378016943,0.020338983050847456,0.01,0.013126893301918546,0.0975,1.5238000919583965,1.3267345447294248,1.240485679718781,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,400
9,0.013559322033898305,0.008888888888888889,0.015483002356109055,0.10222222222222223,1.4049110785785495,1.2444102859925386,1.1746195183241304,0.01694915254237288,0.008333333333333333,0.015483002356109055,0.10222222222222223,1.444416688476275,1.2807213933718251,1.2080912792159955,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,450
10,0.013559322033898305,0.008,0.016156176371592057,0.096,1.4151762160788741,1.2563840216333801,1.1849047924242702,0.023728813559322035,0.011666666666666667,0.016156176371592057,0.096,1.4743066247992553,1.3183328494959814,1.2514189953830128,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,500
